,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
56,HHIPL2,SLC17A7,C2CD4C,TMEM183A,TSPAN7,RAG1AP1,LOC340508,CAMKV,ASF1B
57,PLSCR4,PGM5,C2CD4B,HPSE2,N4BP2L1,STAT5B,ARRDC5,SPPL3,NAALAD2
58,KIAA0247,SHC4,C2CD4A,PRNP,KIAA0101,UHRF1,SNX9,GOLIM4,COMP
59,KCTD3,RPAIN,VPS28,CX3CL1,JAM3,ARHGAP20,SBNO1,ZNF646,FHL1
60,GRIA4,C9orf170,GPR176,HOXA5,ALDH1A2,CDK1,NCRNA00171,OPA3,NUF2
61,PLXNA3,PRNP,GPR174,CASQ2,SVEP1,PLK1,C5orf40,OPA1,AQPEP
62,BPNT1,PTOV1,PHF2,SVEP1,RPE65,SVEP1,C5orf46,RHEB,ADAMTS14
63,TMEM171,AGPAT9,GPR173,ALDH1A2,HOXA5,TTC28,TMEM209,RAB40C,LHCGR
64,UNC5B,SH3D19,PHF7,PAQR4,PPP4C,RYR3,GSTTP2,RAB40B,HPSE2
65,FAM189A2,HOXD13,GPR171,LOC285419,HPSE2,SPC25,XKR3,RAB40A,LOC283392
66,GTSE1,KY,PPT1,PPP4C,RAG1AP1,HJURP,SNORD116-16,COL7A1,HMMR
67,C19orf76,MFAP4,ATP6V1G1,DMD,C18orf34,ATOH8,XKR9,MDP1,CAV2
68,SCN2B,MGLL,ATP6V1G2,SEMA6D,CPA1,FGF1,PRPF4,GTSE1,SLC2A4
69,OXTR,HOXA3,ATP6V1G3,USP44,LOC388387,SLC17A7,TADA3,FAM183A,SAMD14
70,WISP1,COL11A1,WWC3,LRRC3B,MAB21L1,MESTIT1,RNF168,ARFRP1,SIK2
71,SMYD1,MRPL39,GPR179,N4BP2L1,ZNF658,LEP,SNORD90,OVCH1,WDR62
72,PENK,GATA3,ZNF136,C18orf34,SEMA6D,RUSC1,NTAN1,FAM183B,SPTBN1
73,GFAP,ACTG2,SERP2,JAM3,LOC572558,SH3D19,UGT1A8,PSAP,HHATL
74,ASF1B,ST3GAL6,OBP2A,COL11A1,ART4,GPD1,UGT1A9,KIAA0831,KIF20A
75,KLF6,LNP1,RNY5,TSPAN7,CAV2,CAT,UGT1A6,SPPL2A,NUAK2
76,IGFBP1,CES4,RUSC1,CHRDL1,LOC285419,PLSCR4,UGT1A1,SLC46A1,HEPN1
77,BGN,KRT5,C10orf4,SCN4A,FAM162B,MMP13,SNORD95,TGFBR2,C1QTNF6
78,LRRC3B,GRPEL2,SCGB2A1,RUSC1,TMEM183A,NPR1,LOC100271832,ITGA8,NUSAP1
79,KCNE1,ZNF530,ZIC2,CAV2,GNG11,MYLK,GPHB5,ITGA9,C12orf39
