,XGBoost,LightGBM,CatBoost,GrootCV,GrootCV.fastshap,Boruta_Shap,Boruta_rf,arfsfs,Pymrmr
4839,TTC35,AGPAT4,ARHGDIG,MGC14436,LOC401431,FAM175B,ZNF76,WASH2P,EEF1A1P9
4840,OR4K1,C1orf63,ALKBH6,ACTR2,ADRB1,SPNS1,TMEM185B,CLEC3B,ZNF646
4841,OR4K5,AGPAT6,DNAJB5,APH1A,ADD1,LOC401127,RIMS2,KRT33B,PLCL2
4842,MTHFSD,MICALL2,DIDO1,ZNF695,LIMS3-LOC440895,GFRA4,CEP97,CGGBP1,C15orf43
4843,ARSH,IFNA17,TMEM164,MAK16,FLJ35776,L3MBTL3,TANC2,CLEC3A,ZNF157
4844,FAM153B,MICALL1,GCET2,IGFBP5,PCOLCE,L3MBTL2,SPATA5,AMBP,GRIN2A
4845,TTC38,IFNA13,TRMT5,ZFP161,TSTD2,C8ORFK29,CALR3,ZNF786,TARBP2
4846,FAM153A,SPDYE4,AMDHD2,EPB41L3,C1orf125,MID1IP1,PMS2L11,UFSP1,GTF2IRD2P1
4847,HS3ST3B1,SHISA4,AMDHD1,ZNF43,LOC81691,GFRA3,C17orf95,ZFP41,ZNF675
4848,SLC38A4,PIK3IP1,DNAJB4,NBN,LMO2,GFRA2,RBBP8,AMBN,RNF11
4849,TTC37,PCDHB14,DNAJB6,GRIA3,FTL,ADAMTS15,PTGS2,ZFP42,ZNF319
4850,TTC31,LOC100130691,DNAJB9,PAK1IP1,CPA3,TSEN15,GRID2,CARNS1,PIGT
4851,PARD6G,WWC2,DNAJB7,CD300C,SPATA6,RPS2,VPS33A,PHGDH,COPS2
4852,SCN5A,STYX,EPB49,C20orf29,UBA7,PRSS45,HOXB5,HSPA1L,EMX2
4853,NPC1L1,SCD,DNAJB1,PPIC,ATXN2L,PRSS42,ZNF74,VSX2,SIX2
4854,ERMP1,SMCP,DNAJB2,FAM83F,EVPLL,KRT20,TRIM26,MAD2L1BP,RAMP2
4855,UBE2D4,SLC7A2,DNAJB3,NAPSA,LAMA1,PRSS41,CUL7,HSPB6,PODXL
4856,PPP1R3F,LOC100133308,ZNF714,SMURF1,MYBPC1,CPA3,TRIB2,DGKZ,NECAB3
4857,MAPK1IP1L,PRDX5,DNAJB8,TERT,CLU,TSEN34,NGDN,C10orf35,CCBP2
4858,IL7R,LEPR,ALKBH7,MYH15,PBX2,PCMT1,XAGE2,C10orf32,VDR
4859,GABRG1,CPOX,PCDH15,PRR16,KIAA1467,PRSS48,GOLGA1,HSPB3,EPSTI1
4860,GPR137C,LTA,HMSD,HDAC9,LOC100130386,LPCAT1,SLC32A1,HSPB1,MUC4
4861,C1orf21,LTV1,PABPC1L2A,C11orf17,DCK,C9orf6,DOK6,PKN1,ADCY6
4862,IMPAD1,GRIPAP1,CD46,SAE1,C5orf15,LPCAT3,NQO1,PKN3,RASA3
4863,C1orf25,TINAG,ZNF747,METTL7B,SOCS6,C9orf4,GRK7,LRCH3,LOC221442
4864,C1orf27,OR2J2,UBP1,C17orf85,CCDC85A,C9orf3,KRTDAP,SNORA45,DYNLL1
4865,C1orf26,LTF,PLEK2,FBXW11,C11orf66,NAV1,PIGL,HSPB8,ARHGEF19
4866,DEFB109P1B,ZNF788,OR2AG1,POR,MAPK1,PSENEN,TMEM229A,HSPB9,ORC5L
4867,FGL1,ALG10,OR2AG2,15-Sep,GPAM,C9orf9,SPA17,NCRNA00157,CYFIP2
4868,FZD10,ALG11,PPP1R14B,INHA,TK2,CDKN2BAS,CLEC1B,TPH1,MRPS35
4869,GABRG3,ALG12,PPP1R14D,LSR,HAUS7,FAM177A1,NID1,IDH3B,LIMD2
4870,SIRT2,ALG13,TCTE3,CD1C,NAPEPLD,CPA2,PIGH,NCRNA00152,GPT
4871,TMEM91,ALG14,SAMD5,GLYR1,ST6GAL2,KIAA0467,LHFPL3,RHOBTB3,GNG5
4872,RPA2,OFD1,PABPC1L2B,C7orf44,DUSP8,SIGLECP3,CHRM4,RHOBTB1,VAT1L
4873,LOC644165,RIOK2,SCOC,TRIOBP,GNGT2,VCP,LOC91149,INO80D,TTC13
4874,UTP3,RIOK3,CYP26B1,DOC2A,TBC1D16,HNRNPM,NCRNA00173,IL21R,CXCL1
4875,CAPZB,IFNA10,SCML1,USP28,ZNF37A,TMED4,H3F3B,INO80B,GLRA3
4876,GPR137B,VEPH1,ZCWPW1,NPY2R,CXorf57,C14orf132,NCRNA00175,INO80C,PSMB3
4877,FGL2,EIF2C2,HS3ST3A1,CDC37L1,WDR75,LOC440957,VRK1,NCRNA00158,GRID1
4878,PPP1R3G,C14orf180,SSC5D,C9orf47,DUSP4,TMED1,SRRM2,DIS3L2,MTMR12
4879,PTTG2,C11orf80,TCTE1,MUC4,SNRNP70,TMEM201,CA14,KIAA0913,CGRRF1
4880,PRDM2,TRIM31,ALKBH8,MUC12,NCRNA00094,GRAP,IL18R1,FAM43B,TBC1D25
4881,SPP1,UTP18,RALY,LOC26102,ANGEL1,BAIAP2L2,HNRNPM,FAM43A,CHCHD8
4882,MRI1,CHCHD10,PCDH17,C15orf44,GALR1,BAIAP2L1,RAB2B,SCGB1C1,TSHB
4883,ZDBF2,C11orf83,PCDH10,COL5A3,SH2D4A,HNRNPU,C1orf100,ZNF784,C9orf85
4884,AHSA2,C11orf82,PCDH12,ZNF134,BCAR1,SNORD95,MRPL49,TEX261,PGK1
4885,AHSA1,FBXW2,ZNF454,C18orf55,CYP2F1,SHANK2,KCNN1,PLOD2,C19orf24
4886,BCDIN3D,C11orf86,PCDHGB6,MT1L,PLCXD1,ZNF100,SHISA3,UTP14C,ISLR2
4887,PVT1,UBE3C,ASFMR1,C17orf42,KIAA1644,HNRNPK,OR10P1,CMPK1,UBE2L6
4888,CHKA,C11orf85,PRR12,PLOD2,ANKS6,FASN,GIMAP1,LMF2,VPS16
4889,SLC9A6,C11orf84,SDSL,THNSL1,WHAMM,LOC340508,YIPF5,PGA4,DAB2
4890,SIRT5,FOXB1,CD40,CMPK1,TMEM99,ZNF165,HCG22,CMPK2,LCLAT1
4891,OR7E37P,GPR19,ZNF37A,MEF2A,KIAA1370,HNRNPC,ARHGEF5,KCNE2,MCTP2
4892,BMS1,C11orf88,PRIC285,RRN3P2,CHD4,DIS3L,WARS,KCNE3,C16orf86
4893,TSPYL1,RNASE2,ZBTB43,TARS,KIAA0494,SNX9,IRX5,FKBP9L,PTTG1IP
4894,SIRT6,NME5,KIAA1826,RFPL2,LOC440957,HNRNPF,ARFGAP2,KCNE1,MIDN
4895,CHKB,ARRB1,LOC728875,RXRB,CS,PRLHR,WFDC5,FAM124B,TARBP1
4896,HNRPLL,FBXW5,SPEG,LRRC37A2,FTSJD2,HMGA2,LAMB1,ERBB2IP,TPCN1
4897,4-Mar,SNORD1B,ZNF37B,MGC72080,CBY1,SBNO1,IRX2,FOXE1,CS
4898,PPP2R3B,SNORD1A,KISS1,SLC22A23,HIST1H2BF,EEF1B2,SEMA3B,FAM124A,CENPC1
4899,RAB28,FAM107B,RAB21,IFIT1,GBA3,SELV,LAMB2,TEX264,C3orf42
4900,RNF145,OR2T29,ZCWPW2,RAD21,MAK,FAM63B,TCERG1,PTDSS2,MKLN1
4901,TMEM59,PARD3B,TMEM56,RNGTT,WDR81,GOLM1,RPSAP52,C5orf27,HSPC157
4902,RNF141,SCARNA9L,RASGRF1,C1RL,CTTN,TMEM209,WDR33,LDLRAD1,RARRES2
4903,SGSH,ARRB2,XCR1,TNFAIP6,ANKRD19,USPL1,GFRA4,LDLRAD2,SECISBP2L
4904,SHC3,TPSAB1,TIMM8A,PPIL6,LOC285847,KBTBD12,SNORA18,DCD,GLP1R
4905,SNORD121A,ALG10B,PMCHL1,GLOD4,DYNC1H1,IL9R,MINPP1,HPCA,NONO
4906,LOC388387,OR2T27,PMCHL2,NDUFB7,URGCP,TMED7,TCF23,TICAM2,SPCS2
4907,RNF149,FBXW7,CD320,MXI1,FCGBP,AP1G1,FAM109A,SELO,PNLIPRP3
4908,RNF146,CRHR2,ACCS,C7orf70,GXYLT1,EHD4,DPH3B,NCRNA00120,CCDC147
4909,SNORD121B,C15orf38,MYOCD,S100A10,FOXD2,AP1G2,C22orf36,A2BP1,GIMAP4
4910,GRIK5,C15orf39,C16orf48,RAMP1,C20orf112,TACSTD2,UGT2A1,CYP2F1,CDK2AP2
4911,GRIK4,FCRLB,TMEM169,GRM1,TLE3,TMEM50B,HCFC1,RFTN1,FYCO1
4912,GRIK3,AIM2,RDH16,SRR,LOC96610,RPS19,MED9,HTATIP2,HIST2H2BF
4913,GRIK2,DBC1,CALU,SORL1,ASNS,NDUFAF2,KIRREL3,LIG4,ZBTB38
4914,GRIK1,OR8K3,MSH6,SYNGAP1,MTUS2,LOC284900,AGAP3,PMS2L5,IL24
4915,FAM65A,BBOX1,MSH5,LIN28B,ANXA8,UBE2U,LOC100130581,CSNK1D,C8orf77
4916,GLRA1,CDKL1,MGLL,EPX,PLLP,ZNF385B,HEXA,CSNK1E,SLC22A11
4917,GRSF1,CDKL3,?|728603,RNF165,NFE2L3,DCAF4L1,CHUK,LIG1,MAP1D
4918,FAM65C,CDKL2,STOX1,C2orf70,LOC151534,DCAF4L2,LRRC20,PMS2L2,LSM7
4919,TMEM56,C15orf37,UBR4,RPLP1,B3GNT8,ZNF385A,DOCK1,BDP1,TP53RK
4920,RASGRF1,FBXO22,GRSF1,RNF126,HCFC1,ZNF461,LOC339047,DEFB134,FBXL3
4921,XCR1,FBXO21,COPA,PHF13,ZNF518A,C6orf195,ASB17,DEFB135,SLITRK3
4922,TIMM8A,SKA1,PADI2,HIST1H3D,HECW2,OR5M8,DOCK5,DEFB136,LOC344967
4923,PMCHL1,FBXO27,PADI3,MAPK3,RPL13AP20,EHD3,PDXDC2,DEFB130,UBE2A
4924,PMCHL2,MCM9,INTU,SH2D7,C16orf72,VLDLR,SLC9A2,DEFB131,DOCK6
4925,CD320,FBXO25,ZNF555,ZNF786,OBSCN,LPCAT4,VPS4B,DEFB132,C10orf35
4926,ACCS,FBXO24,SYBU,DHX40P1,C11orf2,EHD1,C18orf32,IREB2,TEKT5
4927,MYOCD,OR8K1,COPE,SGPP1,C1orf95,REEP5,APOBEC3H,ISCU,B3GALNT1
4928,MSH2,TBX19,COPG,GLB1L,RPGR,GMFB,ABCF1,MRS2P2,PPME1
4929,TMEM169,FBXO28,RTL1,TCERG1L,DERL1,NDEL1,CALML3,ZNF789,LAMC2
4930,RDH16,XG,SPACA5,ARID1A,LOC100133050,XKRY,AGAP6,EHBP1L1,LARP4B
4931,CALU,OR8K5,GREM2,PPAN-P2RY11,GABRE,XKRX,SVOP,ALS2CR8,KIAA0802
4932,MSH6,C15orf34,C16orf42,LOC729991-MEF2B,GPR4,OBFC1,SFRS2,FNTB,FBXO22
4933,MSH5,SLC35C1,PACSIN3,PLD4,LBP,GON4L,PQLC1,BOLL,IL18
4934,MGLL,DYSFIP1,NFXL1,ADORA1,TRIM26,ABL1,RGPD4,SNORD29,PCDH11Y
4935,?|728603,ACPL2,C16orf46,CCDC22,HMGXB3,LOC100271831,EXPH5,TPSD1,NCOA4
4936,FAM65B,TMEM155,RNF19A,BRDT,C6orf58,LOC100271832,AGAP4,UMODL1,RHOF
4937,TNIP1,MRGPRX3,C16orf45,CRTC1,EIF3K,ABL2,CALML5,ADAMTS20,RABEPK
4938,C16orf48,C15orf32,MSH2,PPP5C,NAT8B,LOC100271836,C6orf182,NKX6-2,PSMC3IP
4939,DNAJB5,GNRHR2,RNF146,DEPDC6,TOX3,EPSTI1,LOC728024,ALS2CR4,P4HA1
4940,DIDO1,ADPRH,FRK,IKZF5,SAP30L,RPS5,SERINC3,C15orf55,MAPK15
4941,TMEM164,GNB4,SNORA50,DRD2,DIS3,RPS6,PLK5P,AFARP1,LOC283174
4942,GCET2,AMBRA1,OR1N2,PL-5283,ARHGAP22,PIGP,FOXQ1,DPY19L2P4,USP43
4943,TRMT5,MRGPRX2,COL17A1,NPR3,INF2,RWDD3,HLA-J,EVI5L,GUCY1A3
4944,AMDHD2,AIM1,SNORA57,ZNF48,DISP2,XYLT2,NCOA2,CRCP,C1orf97
4945,AMDHD1,CKAP2L,SNORA54,LPPR2,GYG1,PIGS,NXPH4,DGKA,C10orf72
4946,DNAJB4,CRHR1,SNORA55,HSPA1L,KLK7,NGFR,TDRG1,KCTD17,BRP44L
4947,DNAJB6,CDKL4,HELZ,CHST14,NRIP3,MCHR2,ACP2,DPY19L2P1,ZG16B
4948,HMSD,TBC1D3P2,FRY,CHD8,IQCC,MS4A10,ANKRD17,CSPG4,CXorf30
4949,DNAJB7,TECPR1,SNORA51,CCDC157,SRCRB4D,RORC,PEG10,CSPG5,C10orf140
4950,EPB49,RP9,TNIP1,EIF2AK2,SCAND2,MEPE,C8orf31,KRTAP10-7,POP1
4951,DNAJB1,KRI1,ZNF808,IFT172,MAX,TRAK2,HES4,KRTAP10-6,ADARB1
4952,DNAJB2,PCMTD1,RAB23,CD109,DKFZp779M0652,MCHR1,ANKRD10,KCTD19,ADAMTS8
4953,DNAJB3,PANK1,SNORA58,CHURC1,DCTPP1,NUMB,HMX2,KCTD18,C9orf3
4954,ZNF714,PCMTD2,SCGBL,THEG,PPIEL,C20orf186,UBE2K,KRTAP10-3,OR7E91P
4955,DNAJB8,SPAG11A,PHIP,GMPR,CADM4,C20orf185,WDFY3,KRTAP10-2,NRBP2
4956,KISS1,PLD5,TMED7-TICAM2,BCMO1,NCKAP1,SFMBT1,NCRNA00201,KRTAP10-1,PALM
4957,RAB21,TET3,TRIM78P,VPS36,BTNL8,SCAND1,SLC2A11,TNFSF13B,TSPAN6
4958,PROSC,TCP10L,PROSC,LOC256880,PLAUR,OR52E2,KLHL24,ZKSCAN3,C8orf22
4959,SNORA50,PTDSS1,FAM65C,ATCAY,MYL7,MS4A13,CAPNS1,ZKSCAN2,ITPR1
4960,OR1N2,NDUFS4,GLRA1,NSUN4,RALGDS,SERPINA6,SEMA6C,ZKSCAN5,CSMD1
4961,COL17A1,HCLS1,RAB28,STBD1,COLEC10,HRASLS,DIO3,ZKSCAN4,NDUFS6
4962,SNORA57,NOD2,RNF145,ERAP2,TCTEX1D4,MS4A14,APBB1IP,LOC100240726,FNDC5
4963,SNORA54,RNASE6,TMEM59,BIK,PGM2L1,EXOC6B,BTN2A3,THEM5,ACAD8
4964,SNORA55,THAP4,RNF141,DIRAS3,GTPBP1,CYC1,LFNG,KIAA1409,RNF41
4965,HELZ,MBD3L5,SGSH,ZNF296,HSPA8,PON3,DDN,LOC100132724,ZNF423
4966,FRY,MBD3L2,SHC3,MITD1,FZD2,PON2,LOC283332,FPGS,BATF
4967,SNORA51,CDY1,SNORD121A,FAM113B,PI4KAP1,COMMD10,LOC150776,GLIS2,PLCG2
4968,FRK,COQ5,LOC388387,SLC47A2,LRRN2,HAGH,ELF4,GLIS3,PTGDS
4969,ZNF808,YKT6,RNF149,ACRBP,HLA-G,PIGO,PDE3A,GLIS1,STX8
4970,RAB23,MBD3L1,FAM65B,NLRP11,WDR17,RPH3A,MTG1,H6PD,TRPM2
4971,SNORA58,CAMSAP1,SNORD121B,TANC2,STK40,SPATA2L,ACPP,FNBP4,USP39
4972,SCGBL,TUBA4A,GRIK5,LOC154761,SLC36A1,CKAP2,PHRF1,CYP2S1,RFXANK
4973,PHIP,TUBA4B,GRIK4,CABYR,HMGCR,LOC100128191,INSIG2,SLC25A37,FSTL1
4974,TMED7-TICAM2,CALD1,GRIK3,KLRC2,POLE2,LOC148696,C21orf71,SLC25A36,ITFG2
4975,TRIM78P,GRK7,GRIK2,FAM91A1,RAB7A,HTR1F,ELF2,BCHE,ACRC
4976,STOX1,LRCH2,GRIK1,PACSIN2,GLRX5,SON,LGI2,DCP1B,MEIS3P1
4977,UBR4,LRCH1,FAM65A,FOXD4L1,LRP1B,DFNB59,FLT3LG,DCP1A,INPPL1
4978,ARHGDIG,CCNB3,NUBP1,PRR18,ATP6V1E2,GPD2,PSMG1,GPBAR1,TSPAN11
4979,PRTG,CCNB2,GFER,KDM4B,RPS27,PIGV,ABCA17P,TMEM106B,ZNF33B
4980,C19orf2,AGBL5,GJB5,NDST2,LSR,LOC100170939,LOC442459,VIM,CER1
4981,POFUT1,NOD1,LIN7B,PEG3,NCR3,TCP10L2,SNORD22,SLC25A39,PEX19
4982,MFRP,NDUFS3,HNRPLL,KLF1,GALNT14,SDF2,KRTAP4-12,C15orf33,TPBG
4983,SNAR-E,RGPD3,FNBP1,SLC15A3,PRICKLE3,PLBD2,POLL,TGM5,RADIL
4984,SNAR-F,ETFA,OR2D2,TEX19,ZNF439,PDCD2L,CDYL,TUBA1C,MYPOP
4985,FBXL2,NEDD4L,SMG5,SEPW1,RAB23,IMP4,LCN1,LOC100190940,OR6C2
4986,TRIM11,NCOA6,TGM6,ZNF160,ABCC12,PIGU,BRSK2,TUBA1A,GLYCTK
4987,TOP1P2,UBE2QL1,IMMP2L,PCSK7,TUBA3D,OR4A47,LOC285074,TMEM106A,ATP2C2
4988,SNAR-H,WIPI1,TGM4,DRD1,ZNF410,NEFM,DDB1,FAM23A,GTF2H1
4989,NT5C,AGBL1,GRHPR,STXBP4,CLMN,NEFL,KRT85,VIP,TAP1
4990,GPR139,THAP2,4-Mar,FBXW4,PDZK1P1,FAM36A,XAGE3,AJAP1,NKD2
4991,ATP6V1C1,AGBL2,FLJ37201,MAT1A,CBLN3,C2orf70,TCP10L,IGSF11,CDC14A
4992,ATP6V1C2,ETFB,LIN7A,CCDC121,OASL,OR52E6,TLR6,MMEL1,CWC22
4993,GPR132,GTF2A1,DNAL1,DCTN3,ATP13A1,ILKAP,SELK,TMEM182,DENND4C
4994,GPR133,AGBL3,FLJ36000,FLJ42393,MAN1B1,C2orf72,MYO15B,TMEM181,FOXK2
4995,VTI1A,GTF2A2,KIAA1239,PGM2,CRABP1,C2orf73,NUP210L,TMEM180,LEPROT
4996,CDKN2AIP,RBMX,DNAL4,C1orf54,CCL26,C2orf74,MAB21L2,TMEM187,PTPLA
4997,SLC22A6,PCDHA11,NACAD,SLC10A1,L1TD1,C2orf76,HMGCL,CHMP5,TBC1D2B
4998,GPR135,IL18BP,5-Mar,SYS1,ZBTB2,C2orf77,FGF20,IL10RB,MESDC1
4999,OCIAD1,CDYL,7-Mar,ANKFN1,C1orf177,C2orf78,SUMO4,GNG2,HOTAIR
5000,TNFRSF13C,IQGAP1,C9orf152,ATP5L2,C4orf37,C2orf79,PSPC1,RIBC1,KCNG3
5001,TIAM2,IQGAP2,CLSTN1,PANK4,C7orf54,NRG3,RP9,TMEM188,SLC9A6
5002,TMEM191A,IQGAP3,EIF3L,ZSCAN22,CELA1,NRG2,FAM187B,PDZD3,CATSPER2
5003,RDH13,ProSAPiP1,EIF3K,C9orf128,MYCBP,MBP,C10orf107,SLC7A6,C17orf90
5004,PPP1R3A,TRIM37,EIF3J,FZD10,SERPINB1,NRG4,EPX,FAM102B,PPAP2C
5005,PPP1R3B,AGBL4,EIF3I,JMJD1C,ZNF823,GAA,PHF20L1,FAM102A,MRPS14
5006,PPP1R3C,NFATC2IP,EIF3H,CIC,CNN2,NPBWR2,ZNF227,CNTD1,FRMPD2
5007,PPP1R3E,HSPB11,CLSTN3,KCTD21,ZGPAT,HTR1E,DGCR6L,PRH1,TMED2
5008,C19orf6,SCGB1D1,CLSTN2,CALCB,FBXL6,HTR1A,TRAPPC3,PGBD4,EIF2B3
5009,FBXL5,SCGB1D2,9-Mar,STIM1,JAKMIP3,ZNF442,TRAPPC1,RIMKLA,IL1R1
5010,OCIAD2,SNORA4,6-Mar,CDHR3,CTH,PIGF,TMEM150B,S100A7L2,SIGIRR
5011,LOC399744,NDUFS2,FOXI2,KLF16,CA2,OOEP,LOC90246,PGBD5,PLEKHA4
5012,LRRTM4,THAP3,FOXI3,C17orf68,MCTP1,NME1,CSTF1,SMCR7L,SLITRK5
5013,GPATCH1,TET1,BTN3A2,ZNF232,ATP5A1,SCAMP4,THAP4,PALB2,ETV1
5014,FAM95B1,TRIM33,FOXI1,CD99,COL9A1,SCAMP5,C13orf23,SCGB1A1,CLU
5015,ATF7IP,ADI1,LRTM1,HAND2,ZDHHC20,SCAMP2,TUBA4B,ZMAT2,MAD2L2
5016,GPR137,LOC285847,3-Mar,MTO1,PRMT6,CALCRL,VPS52,PGBD3,CDC42EP3
5017,IL1F6,FBXO43,1-Mar,MESP2,LOC641367,SCAMP1,RFPL4A,OR7C2,LOC100302640
5018,SPACA5,SNORD72,C9orf150,E2F8,NR1D1,PDCD2,LOC441177,TAF6,IRF5
5019,COPA,FBXO41,C9orf153,PRSS8,SYN1,CELA3B,CCDC34,TAF5,PROCR
5020,PADI2,FBXO40,PGCP,INSM1,MAP3K11,LOC441455,VPS13D,OR7C1,PSMB5
5021,PADI3,C3P1,PSMC1,CCDC56,LRBA,CELA3A,DTNBP1,TAF3,ACR
5022,INTU,UBE2E3,ARFIP1,ZNF676,CYSLTR2,CXADRP3,SNHG1,TAF2,HIST1H2AK
5023,ZNF555,UBE2E1,RBM23,RCCD1,C20orf26,C7orf43,CDHR1,RNGTT,CLPP
5024,SYBU,FBXO42,PSMC6,KRT2,BTBD19,C7orf40,SNRNP40,G6PD,P4HA2
5025,COPE,LOC285401,PSMC5,ANKAR,CECR1,C7orf46,SEC11A,G6PC,FOXD3
5026,COPG,NUPR1,PSMC4,ATP6V1H,ATXN1L,FTLP10,TRIM10,OSTCL,RASGEF1B
5027,RTL1,RNPS1,OR6B3,SMAGP,C20orf197,PIGB,MATK,TAF9,ANO2
5028,PADI4,BUB1,PSMC2,WDR24,ANO4,C7orf44,RAB4B,ELMO1,FCN2
5029,GREM2,GATC,ZNF75A,CBX4,FRG1,C7orf45,FAM127A,TSPAN32,PPIAL4C
5030,C16orf42,COX6C,RBM20,SLC9A5,PVR,OR1A2,PGAM2,TSPAN33,ZNF578
5031,PACSIN3,SPDYE6,MYRIP,MAP9,SFTA2,TSPAN8,BTG1,TSPAN31,CNDP2
5032,NFXL1,CNGA1,OR6B2,LOC113230,C11orf10,C7orf49,BZW1,ELMO2,VPS45
5033,C16orf46,CNGA2,GRIN3B,ZFHX3,TNC,FAM193A,AASDH,LOC653544,FAM103A1
5034,RNF19A,CNGA3,GRIN3A,INF2,NXF3,FAM193B,SELE,LOC653545,CSE1L
5035,C16orf45,FBXO46,GJB6,RBM15,KRT15,PIGA,RIF1,POMT2,UIMC1
5036,LOC100128675,CNGA4,DDX18,FAM55B,C14orf162,ZNF444,NOL7,AIF1,INVS
5037,CDK20,NCF1B,GJB4,ITPKA,TMSL3,TCF23,H1FOO,USP17,UVRAG
5038,NRIP2,FBXO47,ARFIP2,GRAMD2,C19orf54,ZNF446,EVX1,AGPS,PHKB
5039,WDR72,SNORD74,PHOSPHO1,SHROOM1,RBM16,TAS2R42,ZNF709,ALAD,SELV
5040,NRIP1,FBXO44,C9orf156,KLRC1,PLB1,ZNF441,ROBO2,LY6G6D,GLO1
5041,RPL23A,FBXO45,TEX13A,NRAP,LLGL2,PIGH,TSKS,FOSB,AP3D1
5042,GPIHBP1,CEMP1,NCLN,FOXP1,NKX2-5,TBC1D3,RBM12,DKFZp779M0652,TUBB1
5043,SHC4,SNORD75,FN3KRP,PSAP,CA13,PIGN,OR5B2,POM121L8P,SAMM50
5044,OR10AG1,C5,CERK,RIPK2,GPM6A,SLC38A11,C16orf52,PPAPDC1B,CLEC11A
5045,FBXL3,RNASEN,LOC646762,WHSC2,FLJ37201,CKAP5,CCDC144A,CCNG1,MARK4
5046,TTBK2,ADSSL1,SNORD34,UBE2E1,ZNF35,BCL2L1,PGLYRP1,CCNG2,ZFP37
5047,TOE1,C6,IFT172,C20orf134,OR10H5,PIGL,VENTXP7,PDXK,KIAA0556
5048,NT5M,SNORD79,ZNF543,CDYL,CYLD,WFDC10A,CDK19,LY6G6F,ULBP1
5049,PDCD6IP,FAM129B,ZNF564,DCDC2B,SYTL4,TCF20,EXOC6,SNORA48,WRNIP1
5050,ALPPL2,EIF2C4,STARD5,TMC3,KDR,GFRAL,OSTC,CNO,SKA2
5051,ZFP57,CDC42BPA,CPVL,PHLDA1,G2E3,SYNGAP1,CDK13,LRRCC1,APLF
5052,HIST2H2AC,DDX58,CCDC79,PPP1R3D,MMP14,LOC100101938,SERGEF,NPLOC4,DNAJC22
5053,AGTPBP1,EMR1,TRIP12,CLK2P,L2HGDH,SCO2,SGMS1,TMEM86A,SLC47A1
5054,TRPM2,EIF2C3,TRIP11,CBFA2T3,ATP13A4,KCTD20,MTX2,TMEM86B,SMTNL2
5055,GJA10,EMR2,TRIP10,DNAJB6,SLC5A5,NRAP,KRT36,LGALS13,EIF2C4
5056,DNAJB9,EMR3,KIF18B,AMN1,ZNF670,RBM15B,TNFRSF10C,FNIP1,IGJ
5057,DBF4B,CPT1C,KIF18A,TPI1P2,KIAA0087,UGP2,INS-IGF2,FNIP2,FLJ43663
5058,7-Mar,PCOTH,EIF3M,PCBP1,PDE8A,SPINT2,SMOC2,USP19,TNRC18
5059,ZBBX,CNTN2,CLIP2,ARL5C,SNX19,SPINT1,UBXN1,PIK3C2A,MRPL12
5060,PCDHGB3,CNTN3,GTF2E1,IL32,DDHD2,SCAND2,HNRNPH1,VSIG8,PRR5-ARHGAP8
5061,EDEM3,ANXA2,RPL13AP17,QPCT,LOC645431,SPINT4,KRTAP5-11,LGALS14,CENPN
5062,EDEM2,CNTN6,SMG1,CSAG3,LOC440354,NAPG,ZNF569,LOC100130386,SCLY
5063,NME7,CNTN4,ZNF542,LAMB2L,TIAM1,PIGK,AKT1S1,GTF2A1L,BCL8
5064,FABP9,CNTN5,INPP5J,VEPH1,EPHX3,NDST1,TAOK3,LOC644172,TTC21B
5065,NME6,SLC44A4,TAS1R2,WDR5B,SAFB2,NDST2,G3BP1,AP2M1,SGK269
5066,CLRN1OS,C11orf48,LOC254312,XYLB,RAB3IP,ITSN2,NCRNA00093,OR5K4,PP14571
5067,ZNF404,DDX59,TAS1R1,UPK1B,MYO7A,MMADHC,AFF1,PPIAL4B,NTHL1
5068,TCF4,FAM129A,NEIL1,CCM2,DYRK2,WNT8B,SERBP1,NPM3,HIST1H1B
5069,WDR7,PRR13,UBTD1,SEH1L,FOXRED2,PRAF2,SGPL1,PDCD6,GORAB
5070,BARD1,DDX52,CCL3,PPAPDC3,SHQ1,MGC70857,SPRR2A,PDCD7,COMMD3
5071,CDKN2D,DDX53,LARP4B,HIST1H3F,DNAJB1,SH2D1B,GMPR2,PDCD4,TEX11
5072,SLIT1,DDX50,UBTD2,RPS14,RASL10B,KHK,UBE2H,NPM2,PYGL
5073,CDKN2A,DDX51,CSTF2T,ZDHHC15,ZBTB34,CYP39A1,MBL1P,LOC285033,VASP
5074,CDKN2C,DDX56,SAP30L,LRRC16A,GPR31,ZNF660,ABCA13,TCF21,FBXO48
5075,CDKN2B,CSRNP1,TRMT11,CCDC47,PRPF4,MPHOSPH9,WDR89,PDCD1,RNASE10
5076,EDEM1,FBXO48,BRP44L,CNP,PCDHGA10,SLC6A11,KCNH2,UGT3A1,ZNRF2
5077,ZNF560,CSRNP2,NME2,VOPP1,TM4SF1,C14orf135,CMAS,PPIAL4G,VSIG2
5078,ELSPBP1,DDX55,CCL2,C1orf52,SCARNA16,XIST,RRP8,LOC100128023,PMPCB
5079,UBTD1,EIF2C1,NFATC2,ALDH2,LGALS1,SLC25A4,TP53,FUZ,MAP6
5080,ZNF542,GATM,INPP5E,TFPT,C21orf88,CLEC2B,NCRNA00112,HDLBP,C13orf37
5081,INPP5J,DCDC2B,FAM73B,ZNF434,HRH2,CLEC2D,C9orf110,PRKCE,FAM162A
